Sub.,S,Id,Equip.A,Equip Type,ChA,T. Name,Conf,Pinout,Equip.B,Equip Type,ChB,T. Name,Length,Real Length,Tray,Routing,Comments,Status,Diameter
VC,C,034706,BL11-VC-IPCT-RKX11A03-02,Varian Dual Controller,SP,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P7,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,P,034695,BL11-VC-IPCT-RKX11A03-03,Varian Dual Controller,HV1,A,CoaxHV-1b,,BL11-VC-IP200-OH01-01,Gamma Vacuum 200,HVIN,B,0.0,18.5,S5,L1ChOH01BOB, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,P,034696,BL11-VC-IPCT-RKX11A03-03,Varian Dual Controller,HV2,A,CoaxHV-1b,,BL11-VC-IP100-OH01-01,Gamma Vacuum 100,HVIN,B,0.0,22.5,S5,L1ChOH01BOB, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,C,037416,BL11-VC-IPCT-RKX11A03-03,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO05,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037416,BL11-VC-IPCT-RKX11A03-03,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI05,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037417,BL11-VC-IPCT-RKX11A03-03,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO06,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037417,BL11-VC-IPCT-RKX11A03-03,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI06,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,034707,BL11-VC-IPCT-RKX11A03-03,Varian Dual Controller,SP,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P8,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,P,034697,BL11-VC-IPCT-RKX11A03-04,Varian Dual Controller,HV1,A,CoaxHV-1b,,BL11-OP-MIR-OH01-01,BL11 MIRRSYS,IP,B,0.0,25,S5,L1ChOH01BOC, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,P,034698,BL11-VC-IPCT-RKX11A03-04,Varian Dual Controller,HV2,A,CoaxHV-1b,,BL11-VC-IP100-OH01-02,Gamma Vacuum 100,HVIN,B,0.0,23.5,S5,L1ChOH01BOC, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,C,037418,BL11-VC-IPCT-RKX11A03-04,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO07,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037418,BL11-VC-IPCT-RKX11A03-04,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI07,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037419,BL11-VC-IPCT-RKX11A03-04,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO08,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037419,BL11-VC-IPCT-RKX11A03-04,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI08,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,034708,BL11-VC-IPCT-RKX11A03-04,Varian Dual Controller,SP,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P9,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,P,034699,BL11-VC-IPCT-RKX11A03-05,Varian Dual Controller,HV1,A,CoaxHV-1b,,BL11-OP-PSHU-OH01-01,ALBA BL SAFETY PHOTON SHUTTER-1,IP,B,0.0,20,S5,L1ChOH01BOC, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,P,038111,BL11-VC-IPCT-RKX11A03-05,Varian Dual Controller,HV2,A,CoaxHV-1b,,BL11-VC-IP200-EH01-01,Gamma Vacuum 200,HVIN,B,0.0,33,S5,L1ChEH01BEA, Falta etiqueta en los dos extremos,TO-Tested (Ok),7.5
VC,C,037420,BL11-VC-IPCT-RKX11A03-05,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO09,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037420,BL11-VC-IPCT-RKX11A03-05,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI09,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037421,BL11-VC-IPCT-RKX11A03-05,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO14,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037421,BL11-VC-IPCT-RKX11A03-05,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI19,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,034709,BL11-VC-IPCT-RKX11A03-05,Varian Dual Controller,SP,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P10,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,C,037422,BL11-VC-IPCT-RKX11A03-06,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR19,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037422,BL11-VC-IPCT-RKX11A03-06,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR18,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037423,BL11-VC-IPCT-RKX11A03-06,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR21,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037423,BL11-VC-IPCT-RKX11A03-06,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR20,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,040355,BL11-VC-IPCT-RKX11A03-06,Varian Dual Controller,SP,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P12,B,1.0,2,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,C,037427,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,CTL,A1,SMW4-15,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI14,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,5.3
VC,C,037427,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,CTL,A1,SMW4-15,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO13,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,5.3
VC,P,040380,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,SEN1,A,TRIAX-1,,BL11-VC-CCG-EH01-01,VAT Gauge Series 77,TRIG,B,0.0,44.5,S5,L1Ch2BEA, Assembled by Cells,AI-Authorized for Installation,6.1
VC,C,037426,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,VLR,A1,SMW8-17,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI11,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,7.2
VC,C,037426,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,VLR,A1,SMW8-17,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI12,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,7.2
VC,C,037426,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,VLR,A1,SMW8-17,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI13,B3,0.0,14.5,S2,L3,,AI-Authorized for Installation,7.2
VC,C,037426,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,VLR,A1,SMW8-17,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO11,B4,0.0,14.5,S2,L3,,AI-Authorized for Installation,7.2
VC,C,037426,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,VLR,A1,SMW8-17,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO12,B5,0.0,14.5,S2,L3,,AI-Authorized for Installation,7.2
VC,NA,038507,BL11-VC-VFCS-RKX11A03-01,VAT Controller Series 77 CC-1,VLV,A,UMW12-1,,BL11-VC-FCV-OH01-01,VAT FCS Series 77,EN,B,0.0,27,,L4ChOH02BOC, 0,TO-Tested (Ok),10.0
FE,P,034683,FE11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,CHV1,A1,COAXHV-5,,FE11-FE-TRU-F11-01,ALBA FE TRIGGER UNIT,CHV,B1,0.0,19.5,S5,L1ChOH01BOA,,AI-Authorized for Installation,9.0
FE,P,034683,FE11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,CC1,A2,COAXHV-5,,FE11-FE-TRU-F11-01,ALBA FE TRIGGER UNIT,CC,B2,0.0,19.5,S5,L1ChOH01BOA,,AI-Authorized for Installation,9.0
VC,P,034685,BL11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,CHV2,A1,COAXHV-5,,BL11-OP-MONO-OH01-01,BL11 MONO,CHV,B1,0.0,23.5,S5,L1ChOH01BOB, Falta etiqueta en lado rack,TO-Tested (Ok),9.0
VC,P,034685,BL11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,CC2,A2,COAXHV-5,,BL11-OP-MONO-OH01-01,BL11 MONO,CC,B2,0.0,23.5,S5,L1ChOH01BOB, Falta etiqueta en lado rack,TO-Tested (Ok),9.0
VC,P,034686,BL11-VC-VGCT-RKX11A03-02,MKS 937A CC-1,CHV1,A1,COAXHV-5,,BL11-VC-BLVS-OH01-02,ALBA BL VACSEC-2,CHV,B1,0.0,23.5,S5,L1ChOH01BOB, Falta etiqueta en lado rack,TO-Tested (Ok),9.0
VC,P,034686,BL11-VC-VGCT-RKX11A03-02,MKS 937A CC-1,CC1,A2,COAXHV-5,,BL11-VC-BLVS-OH01-02,ALBA BL VACSEC-2,CC,B2,0.0,23.5,S5,L1ChOH01BOB, Falta etiqueta en lado rack,TO-Tested (Ok),9.0
VC,P,034687,BL11-VC-VGCT-RKX11A03-02,MKS 937A CC-1,CHV2,A1,COAXHV-5,,BL11-OP-MIR-OH01-01,BL11 MIRRSYS,CHV,B1,0.0,21.5,S5,L1ChOH01BOC, Falta etiqueta en lado rack,TO-Tested (Ok),9.0
VC,P,034687,BL11-VC-VGCT-RKX11A03-02,MKS 937A CC-1,CC2,A2,COAXHV-5,,BL11-OP-MIR-OH01-01,BL11 MIRRSYS,CC,B2,0.0,21.5,S5,L1ChOH01BOC, Falta etiqueta en lado rack,TO-Tested (Ok),9.0
VC,P,034688,BL11-VC-VGCT-RKX11A03-03,MKS 937A CC-1,CHV1,A1,COAXHV-5,,BL11-VC-BLVS-OH01-03,ALBA BL VACSEC-2,CHV,B1,0.0,27,S5,L1ChOH01BOC, Falta etiqueta en lado rack,TO-Tested (Ok),9.0
