"Sub."	"S"	"Id"	"Equip.A"	"Equip Type"	"ChA"	"T. Name"	"Conf"	"Pinout"	"Equip.B"	"Equip Type"	"ChB"	"T. Name"	"Length"	"Real Length"	"Tray"	"Routing"	"Comments"	"Status"	"Diameter"
"VC"	"S"	37945	"BL04-VC-VGCT-RKX04A01-02"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"AI05"	"B2"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37945	"BL04-VC-VGCT-RKX04A01-02"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR04"	"B4"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37945	"BL04-VC-VGCT-RKX04A01-02"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR03"	"B3"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37946	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"AI08"	"B2"	0		"S1"			"PC-Provisional Cable"	10.9
"VC"	"S"	37946	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR06"	"B3"	0		"S1"			"PC-Provisional Cable"	10.9
"VC"	"S"	37946	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR07"	"B4"	0		"S1"			"PC-Provisional Cable"	10.9
"VC"	"S"	37946	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"AI06"	"B1"	0		"S1"			"PC-Provisional Cable"	10.9
"VC"	"S"	37950	"FE04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR12"	"B4"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37950	"FE04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR11"	"B3"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37950	"FE04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"AI07"	"B1"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37950	"FE04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR10"	"B2"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"P"	36268	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"PI1"	"A"	"STP6-1"		"BL04-OP-FILT-OH01-01"	"BL04 PREFILTER UNIT"	"PIR"	"B"	0	33	"S5"	"L2Ch2B1"	"Falta conectar en hutch y rack (No hay equipo)"	"TO-Tested (Ok)"	7.2
"VC"	"P"	36269	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"PI2"	"A"	"STP6-1"		"BL04-OP-WBAT-OH01-01"	"ALBA BL WBAT-3"	"PIR"	"B"	0	34.5	"S5"	"L2Ch2B1"	"Falta conectar en hutch y rack"	"TO-Tested (Ok)"	7.2
"VC"	"P"	36270	"BL04-VC-VGCT-RKX04A01-02"	"MKS 937A CC-1"	"PI1"	"A"	"STP6-1"		"BL04-OP-MIR-OH01-01"	"BL04 COLLIMATOR MIRROR"	"PIR"	"B"	0	31.5	"S5"	"L2Ch2B2"	"Falta conectar en hutch y rack"	"TO-Tested (Ok)"	7.2
"VC"	"P"	36292	"BL04-VC-VGCT-RKX04A01-02"	"MKS 937A CC-1"	"PI2"	"A"	"STP6-1"		"BL04-OP-MONO-OH01-01"	"BL04 MONO "	"PIR"	"B"	0	26.5	"S5"	"L2Ch2B3"		"TO-Tested (Ok)"	7.2
"VC"	"P"	37125	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"PI1"	"A"	"STP6-1"		"BL04-OP-PSHU-OH01-01"	"ALBA BL SAFETY PHOTON SHUTTER-1"	"PIR"	"B"	0	26.5	"S5"	"L2Ch2B4"	"Falta conectar en lado rack"	"TO-Tested (Ok)"	7.2
"VC"	"P"	41489	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"PI2"	"A"	"STP6-1"		"BL04-VC-BLVS-OH01-01"	"ALBA BL VACSEC-1"	"PIR"	"B"	0	33.5	"S5"	"L2Ch2B2"	"Assembled by Cells "	"TO-Tested (Ok)"	7.2
"FE"	"P"	36267	"FE04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"PI1"	"A"	"STP6-1"		"FE04-FE-TRU-F04-01"	"ALBA FE TRIGGER UNIT"	"PIR"	"B"	0	35	"S5"	"L2Ch2B1"	"Falta conectar en lado rack"	"TO-Tested (Ok)"	7.2
"VC"	"C"	36288	"BL04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"SP"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P6"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
"VC"	"C"	36289	"BL04-VC-IPCT-RKX04A01-02"	"Varian Dual Controller"	"SP"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P7"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
"VC"	"C"	36290	"BL04-VC-IPCT-RKX04A01-03"	"Varian Dual Controller"	"SP"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P8"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
"VC"	"C"	36291	"BL04-VC-IPCT-RKX04A01-04"	"Varian Dual Controller"	"SP"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P9"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
"VC"	"C"	36284	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"SP1"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P2"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
"VC"	"C"	36285	"BL04-VC-VGCT-RKX04A01-02"	"MKS 937A CC-1"	"SP1"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P3"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
"VC"	"C"	36286	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"SP1"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P4"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
"VC"	"C"	36287	"FE04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"SP"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P5"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
"VC"	"C"	36283	"FE04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"SP1"	"A"	"STP8-2"		"BL04-CT-PAPA-RKX04A01-01"	"RocketPort RM16 Patch Panel"	"P1"	"B"	1	1	"S2"	"NONE"	"INTERNAL"	"AI-Authorized for Installation"	6.7
