ID11/EPS/PLC-01,A,50,390,835,1155,2135,2455
VAR,,MODBUS ADDRESS,TYPE VAR,,,DEVICES,DEVICE TYPE
SR_ID_IVU_S05_01_TCOIL_DWV1,.Value,846,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV2,.StatusRead,847,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV2,.Value,848,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH1,.StatusRead,849,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH1,.Value,850,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH2,.StatusRead,851,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH2,.Value,852,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV1,.StatusRead,853,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV1,.Value,854,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV2,.StatusRead,855,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV2,.Value,856,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH1,.StatusRead,857,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH1,.Value,858,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH2,.StatusRead,859,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH2,.Value,860,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV1,.StatusRead,861,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV1,.Value,862,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV2,.StatusRead,863,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV2,.Value,864,INT,,,,
SR_ID_IVU_S05_01_TLBEAM1,.StatusRead,865,INT,,,,
SR_ID_IVU_S05_01_TLBEAM1,.Value,866,INT,,,,
SR_ID_IVU_S05_01_TLBEAM2,.StatusRead,867,INT,,,,
SR_ID_IVU_S05_01_TLBEAM2,.Value,868,INT,,,,
SR_ID_IVU_S05_01_TLBEAM3,.StatusRead,869,INT,,,,
SR_ID_IVU_S05_01_TLBEAM3,.Value,870,INT,,,,
SR_ID_IVU_S05_01_TLBEAM4,.StatusRead,871,INT,,,,
SR_ID_IVU_S05_01_TLBEAM4,.Value,872,INT,,,,
SR_ID_IVU_S05_01_TLBEAM5,.StatusRead,873,INT,,,,
SR_ID_IVU_S05_01_TLBEAM5,.Value,874,INT,,,,
SR_ID_IVU_S05_01_TTAP_DB1,.StatusRead,875,INT,,,,
SR_ID_IVU_S05_01_TTAP_DB1,.Value,876,INT,,,,
SR_ID_IVU_S05_01_TTAP_DB2,.StatusRead,877,INT,,,,
SR_ID_IVU_S05_01_TTAP_DB2,.Value,878,INT,,,,
SR_ID_IVU_S05_01_TTAP_DT1,.StatusRead,879,INT,,,,
SR_ID_IVU_S05_01_TTAP_DT1,.Value,880,INT,,,,
SR_ID_IVU_S05_01_TTAP_DT2,.StatusRead,881,INT,,,,
SR_ID_IVU_S05_01_TTAP_DT2,.Value,882,INT,,,,
SR_ID_IVU_S05_01_TTAP_UB1,.StatusRead,883,INT,,,,
SR_ID_IVU_S05_01_TTAP_UB1,.Value,884,INT,,,,
SR_ID_IVU_S05_01_TTAP_UB2,.StatusRead,885,INT,,,,
SR_ID_IVU_S05_01_TTAP_UB2,.Value,886,INT,,,,
SR_ID_IVU_S05_01_TTAP_UT1,.StatusRead,887,INT,,,,
SR_ID_IVU_S05_01_TTAP_UT1,.Value,888,INT,,,,
SR_ID_IVU_S05_01_TTAP_UT2,.StatusRead,889,INT,,,,
SR_ID_IVU_S05_01_TTAP_UT2,.Value,890,INT,,,,
SR_ID_IVU_S05_01_TUBEAM1,.StatusRead,891,INT,,,,
SR_ID_IVU_S05_01_TUBEAM1,.Value,892,INT,,,,
SR_ID_IVU_S05_01_TUBEAM2,.StatusRead,893,INT,,,,
SR_ID_IVU_S05_01_TUBEAM2,.Value,894,INT,,,,
SR_ID_IVU_S05_01_TUBEAM3,.StatusRead,895,INT,,,,
SR_ID_IVU_S05_01_TUBEAM3,.Value,896,INT,,,,
SR_ID_IVU_S05_01_TUBEAM4,.StatusRead,897,INT,,,,
SR_ID_IVU_S05_01_TUBEAM4,.Value,898,INT,,,,
SR_ID_IVU_S05_01_TUBEAM5,.StatusRead,899,INT,,,,
SR_ID_IVU_S05_01_TUBEAM5,.Value,900,INT,,,,
SR_ID_IVU_S05_01_TVES_1,.StatusRead,901,INT,,,,
SR_ID_IVU_S05_01_TVES_1,.Value,902,INT,,,,
SR_ID_IVU_S05_01_TVES_2,.StatusRead,903,INT,,,,
SR_ID_IVU_S05_01_TVES_2,.Value,904,INT,,,,
SR_ID_IVU_S05_01_TVES_3,.StatusRead,905,INT,,,,
SR_ID_IVU_S05_01_TVES_3,.Value,906,INT,,,,
SR_ID_IVU_S05_01_TVES_4,.StatusRead,907,INT,,,,
SR_ID_IVU_S05_01_TVES_4,.Value,908,INT,,,,
SR_ID_IVU_S05_01_TVES_5,.StatusRead,909,INT,,,,
SR_ID_IVU_S05_01_TVES_5,.Value,910,INT,,,,
SR_ID_IVU_S05_01_TW_INLET,.StatusRead,911,INT,,,,
SR_ID_IVU_S05_01_TW_INLET,.Value,912,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET1,.StatusRead,913,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET1,.Value,914,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET2,.StatusRead,915,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET2,.Value,916,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET3,.StatusRead,917,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET3,.Value,918,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET4,.StatusRead,919,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET4,.Value,920,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET5,.StatusRead,921,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET5,.Value,922,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET6,.StatusRead,923,INT,,,,
SR_ID_IVU_S05_01_TW_OUTLET6,.Value,924,INT,,,,
SR_ID_IVU_S05_01_EVTS1,.StatusWrite,1155,INT,,,,
SR_ID_IVU_S05_01_EVTS1,.ForceValue,1156,INT,,,,
SR_ID_IVU_S05_01_EVTS1,.WarnUp,1157,INT,,,,
SR_ID_IVU_S05_01_EVTS1,.WarnDown,1158,INT,,,,
SR_ID_IVU_S05_01_EVTS1,.AlarmUp,1159,INT,,,,
SR_ID_IVU_S05_01_EVTS1,.AlarmDown,1160,INT,,,,
SR_ID_IVU_S05_01_P1TS1,.StatusWrite,1161,INT,,,,
SR_ID_IVU_S05_01_P1TS1,.ForceValue,1162,INT,,,,
SR_ID_IVU_S05_01_P1TS1,.WarnUp,1163,INT,,,,
SR_ID_IVU_S05_01_P1TS1,.WarnDown,1164,INT,,,,
SR_ID_IVU_S05_01_P1TS1,.AlarmUp,1165,INT,,,,
SR_ID_IVU_S05_01_P1TS1,.AlarmDown,1166,INT,,,,
SR_ID_IVU_S05_01_P2TS1,.StatusWrite,1167,INT,,,,
SR_ID_IVU_S05_01_P2TS1,.ForceValue,1168,INT,,,,
SR_ID_IVU_S05_01_P2TS1,.WarnUp,1169,INT,,,,
SR_ID_IVU_S05_01_P2TS1,.WarnDown,1170,INT,,,,
SR_ID_IVU_S05_01_P2TS1,.AlarmUp,1171,INT,,,,
SR_ID_IVU_S05_01_P2TS1,.AlarmDown,1172,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH1,.StatusWrite,1173,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH1,.ForceValue,1174,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH1,.WarnUp,1175,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH1,.WarnDown,1176,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH1,.AlarmUp,1177,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH1,.AlarmDown,1178,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH2,.StatusWrite,1179,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH2,.ForceValue,1180,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH2,.WarnUp,1181,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH2,.WarnDown,1182,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH2,.AlarmUp,1183,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH2,.AlarmDown,1184,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV1,.StatusWrite,1185,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV1,.ForceValue,1186,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV1,.WarnUp,1187,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV1,.WarnDown,1188,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV1,.AlarmUp,1189,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV1,.AlarmDown,1190,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV2,.StatusWrite,1191,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV2,.ForceValue,1192,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV2,.WarnUp,1193,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV2,.WarnDown,1194,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV2,.AlarmUp,1195,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV2,.AlarmDown,1196,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH1,.StatusWrite,1197,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH1,.ForceValue,1198,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH1,.WarnUp,1199,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH1,.WarnDown,1200,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH1,.AlarmUp,1201,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH1,.AlarmDown,1202,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH2,.StatusWrite,1203,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH2,.ForceValue,1204,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH2,.WarnUp,1205,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH2,.WarnDown,1206,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH2,.AlarmUp,1207,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNH2,.AlarmDown,1208,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV1,.StatusWrite,1209,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV1,.ForceValue,1210,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV1,.WarnUp,1211,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV1,.WarnDown,1212,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV1,.AlarmUp,1213,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV1,.AlarmDown,1214,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV2,.StatusWrite,1215,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV2,.ForceValue,1216,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV2,.WarnUp,1217,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV2,.WarnDown,1218,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV2,.AlarmUp,1219,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UNV2,.AlarmDown,1220,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH1,.StatusWrite,1221,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH1,.ForceValue,1222,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH1,.WarnUp,1223,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH1,.WarnDown,1224,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH1,.AlarmUp,1225,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH1,.AlarmDown,1226,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH2,.StatusWrite,1227,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH2,.ForceValue,1228,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH2,.WarnUp,1229,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH2,.WarnDown,1230,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH2,.AlarmUp,1231,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPH2,.AlarmDown,1232,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV1,.StatusWrite,1233,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV1,.ForceValue,1234,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV1,.WarnUp,1235,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV1,.WarnDown,1236,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV1,.AlarmUp,1237,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV1,.AlarmDown,1238,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV2,.StatusWrite,1239,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV2,.ForceValue,1240,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV2,.WarnUp,1241,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV2,.WarnDown,1242,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV2,.AlarmUp,1243,INT,,,,
SR_ID_IVU_S05_01_TCOIL_UPV2,.AlarmDown,1244,INT,,,,
SR_ID_IVU_S05_01_TLBEAM1,.StatusWrite,1245,INT,,,,
SR_ID_IVU_S05_01_TLBEAM1,.ForceValue,1246,INT,,,,
SR_ID_IVU_S05_01_TLBEAM1,.WarnUp,1247,INT,,,,
SR_ID_IVU_S05_01_TLBEAM1,.WarnDown,1248,INT,,,,
SR_ID_IVU_S05_01_TLBEAM1,.AlarmUp,1249,INT,,,,
SR_ID_IVU_S05_01_TLBEAM1,.AlarmDown,1250,INT,,,,
SR_ID_IVU_S05_01_TLBEAM2,.StatusWrite,1251,INT,,,,
